# timestamp target input output err de se
31730 33.613525 0.350000 1.000000 33.263525 0.080000 5.423469
31740 33.613525 0.340000 1.000000 33.273525 -0.010000 5.426797
31750 33.613525 0.350000 1.000000 33.263525 0.010000 5.430123
31770 33.613525 0.680000 1.000000 32.933525 0.330000 5.433417
31780 33.613525 0.340000 1.000000 33.273525 -0.340000 5.436744
31790 33.613525 0.350000 1.000000 33.263525 0.010000 5.440070
31800 33.613525 0.360000 1.000000 33.253525 0.010000 5.443396
31820 33.613525 0.670000 1.000000 32.943525 0.310000 5.446690
31830 33.613525 0.350000 1.000000 33.263525 -0.320000 5.450016
31840 33.613525 0.340000 1.000000 33.273525 -0.010000 5.453344
31850 33.613525 0.350000 1.000000 33.263525 0.010000 5.456670
31860 33.613525 0.340000 1.000000 33.273525 -0.010000 5.459997
31870 33.613525 0.340000 1.000000 33.273525 0.000000 5.463325
31890 33.613525 0.690000 1.000000 32.923525 0.350000 5.466617
31900 33.613525 0.380000 1.000000 33.233525 -0.310000 5.469940
31910 33.613525 0.460000 1.000000 33.153525 0.080000 5.473256
31920 33.613525 0.190000 1.000000 33.423525 -0.270000 5.476598
31930 33.613525 0.340000 1.000000 33.273525 0.150000 5.479925
31950 33.613525 0.690000 1.000000 32.923525 0.350000 5.483218
31960 33.613525 0.340000 1.000000 33.273525 -0.350000 5.486545
31970 33.613525 0.340000 1.000000 33.273525 0.000000 5.489873
31980 33.613525 0.340000 1.000000 33.273525 0.000000 5.493200
31990 33.613525 0.350000 1.000000 33.263525 0.010000 5.496526
32000 33.613525 0.350000 1.000000 33.263525 0.000000 5.499853
32020 33.613525 0.670000 1.000000 32.943525 0.320000 5.503147
32030 33.613525 0.370000 1.000000 33.243525 -0.300000 5.506471
32040 33.613525 0.320000 1.000000 33.293525 -0.050000 5.509801
32050 33.613525 0.340000 1.000000 33.273525 0.020000 5.513128
32060 33.613525 0.340000 1.000000 33.273525 0.000000 5.516455
32070 33.613525 0.340000 1.000000 33.273525 0.000000 5.519783
32090 33.613525 0.690000 1.000000 32.923525 0.350000 5.523075
32100 33.613525 0.370000 1.000000 33.243525 -0.320000 5.526399
32110 33.613525 0.360000 1.000000 33.253525 -0.010000 5.529725
32120 33.613525 0.290000 1.000000 33.323525 -0.070000 5.533057
32130 33.613525 0.340000 1.000000 33.273525 0.050000 5.536384
32140 33.613525 0.340000 1.000000 33.273525 0.000000 5.539712
32160 33.613525 0.690000 1.000000 32.923525 0.350000 5.543004
32170 33.613525 0.340000 1.000000 33.273525 -0.350000 5.546331
32180 33.613525 0.340000 1.000000 33.273525 0.000000 5.549659
32190 33.613525 0.340000 1.000000 33.273525 0.000000 5.552986
32200 33.613525 0.360000 1.000000 33.253525 0.020000 5.556312
32210 33.613525 0.330000 1.000000 33.283525 -0.030000 5.559640
32230 33.613525 0.690000 1.000000 32.923525 0.360000 5.562932
32240 33.613525 0.340000 1.000000 33.273525 -0.350000 5.566260
32250 33.613525 0.350000 1.000000 33.263525 0.010000 5.569586
32260 33.613525 0.340000 1.000000 33.273525 -0.010000 5.572913
32270 33.613525 0.350000 1.000000 33.263525 0.010000 5.576240
32280 33.613525 0.340000 1.000000 33.273525 -0.010000 5.579567
32300 33.613525 0.720000 1.000000 32.893525 0.380000 5.582856
32310 33.613525 0.390000 1.000000 33.223525 -0.330000 5.586179
32320 33.613525 0.270000 1.000000 33.343525 -0.120000 5.589513
32330 33.613525 0.340000 1.000000 33.273525 0.070000 5.592840
32340 33.613525 0.350000 1.000000 33.263525 0.010000 5.596167
32350 33.613525 0.340000 1.000000 33.273525 -0.010000 5.599494
32370 33.613525 0.680000 1.000000 32.933525 0.340000 5.602787
32380 33.613525 0.340000 1.000000 33.273525 -0.340000 5.606115
32390 33.613525 0.350000 1.000000 33.263525 0.010000 5.609441
32400 33.613525 0.350000 1.000000 33.263525 0.000000 5.612768
32410 33.613525 0.330000 1.000000 33.283525 -0.020000 5.616096
32420 33.613525 0.340000 1.000000 33.273525 0.010000 5.619423
32440 33.613525 0.680000 1.000000 32.933525 0.340000 5.622717
32450 33.613525 0.340000 1.000000 33.273525 -0.340000 5.626044
32460 33.613525 0.340000 1.000000 33.273525 0.000000 5.629371
32470 33.613525 0.350000 1.000000 33.263525 0.010000 5.632698
32480 33.613525 0.340000 1.000000 33.273525 -0.010000 5.636025
32490 33.613525 0.340000 1.000000 33.273525 0.000000 5.639352
32510 33.613525 0.750000 1.000000 32.863525 0.410000 5.642639
32520 33.613525 0.280000 1.000000 33.333525 -0.470000 5.645972
32530 33.613525 0.350000 1.000000 33.263525 0.070000 5.649298
32540 33.613525 0.340000 1.000000 33.273525 -0.010000 5.652626
32550 33.613525 0.340000 1.000000 33.273525 0.000000 5.655953
32570 33.613525 0.690000 1.000000 32.923525 0.350000 5.659245
